"RefDes","Value","Name","Manufacturer","Quantity","Datasheet"
"J2","","M20-7820642","Harwin","1","https://www.mouser.mx/datasheet/2/181/M20-782-1220556.pdf"
"U1","","6pin_hdr","","1",""
