"RefDes","Value","Name","Manufacturer","Quantity","Datasheet"
"J2","","GREC006SBSN-M89RC","Sullins","1","http://datasheets.diptrace.com/con_headers/xRxCzzzSxxN-M89RC_11659-B.pdf"
"U1","","6pin_hdr","","1",""
